chamado_id,data_abertura,canal,categoria,subcategoria,estado,cidade,duracao_minutos,resolvido_primeiro_contato,encaminhado_humano,satisfacao_1_a_5,plano_atual,resumo_atendimento
CHM-10004,2026-08-21,telefone,cobertura,Sinal instável,Rio de Janeiro,Duque de Caxias,12,S,não,4,Conecta Básico,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10259,2026-08-10,app,Portabilidade,Dúvida sobre prazo de portabilidade,PR,Curitiba,9,S,Não,4,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10252,,app,outros,Solicitação de fatura detalhada,Bahia,Feira de Santana,10,1,0,3,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10146,2026-08-12,APP,cancelamento,Cancelamento de linha,ba,Feira de Santana,34,1,Não,3,Conecta Básico,Cliente solicita encerramento de uma linha do plano família.
CHM-10020,2026-07-13,Loja fisica,outros,Elogio,Minas Gerais,Belo Horizonte,26,1,N,4,Conecta Básico,Cliente elogia atendimento recebido em contato anterior.
CHM-10311,2026-08-16,App,Portabilidade,Dúvida sobre prazo de portabilidade,São Paulo,São Paulo,20,S,N,,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10295,2026-07-10,APP,fatura,Segunda via,rj,Rio de Janeiro,25,S,não,,Conecta Família,Cliente solicita segunda via da fatura por e-mail.
CHM-10166,2026-07-22,Telefone,Técnico,Aparelho não conecta,RJ,Rio de Janeiro,16,Sim,N,4,Conecta Básico,Cliente relata que o aparelho não conecta à rede após configurar novo chip.
CHM-10068,2026-06-04,telefone,tecnico,Chip não funciona,mg,Uberlândia,22,Sim,não,5,Conecta Básico,Cliente relata chip novo sem funcionamento após ativação.
CHM-10182,2026-06-02,Loja Física,Técnico,Falha na instalação,RJ,Duque de Caxias,8,0,1,3,Conecta Básico,Cliente relata problema durante instalação de internet fixa.
CHM-10253,2026-07-15,Telefone,tecnico,Erro de configuração de APN,pe,Recife,999,N,Sim,3,Conecta Família,Cliente pede ajuda para configurar APN manualmente.
CHM-10145,2026-08-23,App,tecnico,Erro de configuração de APN,rj,Rio de Janeiro,17,0,sim,2,Conecta Família,Cliente pede ajuda para configurar APN manualmente.
CHM-10118,2026-08-06,app,FATURA,Contestação de valor,Minas Gerais,Juiz de Fora,29,1,N,5,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.
CHM-10266,2026-07-20,TELEFONE,portabilidade,Portabilidade não concluída,Rio de Janeiro,Duque de Caxias,24,Sim,não,5,Conecta Plus,Cliente relata que a portabilidade não foi concluída no prazo informado.
CHM-10309,2026-06-05,Loja fisica,cobertura,Sem sinal,RJ,Duque de Caxias,35,0,Sim,1,Conecta Plus,Cliente relata ausência total de sinal na região.
CHM-10155,2026-08-09,Loja Física,Fatura,Contestação de valor,São Paulo,Campinas,4,S,0,5,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.
CHM-10052,2026-07-02,Telefone,plano,Troca de plano,rs,Porto Alegre,16,Sim,0,3,Conecta Plus,Cliente solicita migração para outro plano da ConectaTel.
CHM-10271,2026-06-29,loja física,Outros,Dúvida geral,pe,Olinda,11,Sim,0,5,Conecta Plus,Cliente com dúvida geral sobre serviços da ConectaTel.
CHM-10150,2026-08-23,App,portabilidade,Dúvida sobre prazo de portabilidade,rj,Duque de Caxias,12,não,Sim,1,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10040,2026-08-11,TELEFONE,tecnico,Chip não funciona,Bahia,Feira de Santana,21,Não,não,2,Conecta Plus,Cliente relata chip novo sem funcionamento após ativação.
CHM-10121,2026-06-25,CHAT,Outros,Solicitação de fatura detalhada,rs,Porto Alegre,22,S,N,5,Conecta Família,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10282,2026-06-26,Chat,Tecnico,Chip não funciona,pr,Curitiba,29,0,1,1,Conecta Plus,Cliente relata chip novo sem funcionamento após ativação.
CHM-10245,2026-07-12,App,Cancelamento,Cancelamento por insatisfação,ba,Feira de Santana,25,S,N,5,Conecta Plus,Cliente pede cancelamento citando insatisfação com o atendimento.
CHM-10085,2026-07-20,APP,Fatura,Segunda via,PR,Curitiba,23,sim,0,5,Conecta Plus,Cliente solicita segunda via da fatura por e-mail.
CHM-10307,2026-07-17,telefone,Outros,Elogio,SP,São Paulo,11,sim,Não,,Conecta Família,Cliente elogia atendimento recebido em contato anterior.
CHM-10195,2026-08-15,Chat,cobertura,Lentidão na internet,pr,Curitiba,23,não,0,,Conecta Básico,Cliente relata velocidade abaixo do contratado.
CHM-10126,2026-08-07,app,Outros,Solicitação de fatura detalhada,pr,Londrina,17,Não,Sim,,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10131,2026-07-10,App,Plano,Troca de plano,pe,Olinda,8,S,0,,Conecta Plus,Cliente solicita migração para outro plano da ConectaTel.
CHM-10141,2026-08-02,APP,Tecnico,Chip não funciona,rj,Niterói,31,N,Não,2,Conecta Básico,Cliente relata chip novo sem funcionamento após ativação.
CHM-10016,2026-08-19,Chat,cancelamento,Cancelamento de linha,mg,Belo Horizonte,17,N,Sim,1,Conecta Básico,Cliente solicita encerramento de uma linha do plano família.
CHM-10156,2026-08-08,telefone,Fatura,Segunda via,RS,Caxias do Sul,27,Sim,N,3,N/A,Cliente solicita segunda via da fatura por e-mail.
CHM-10080,2026-06-25,loja física,outros,Sugestão,PE,Recife,10,S,Não,5,Conecta Família,Cliente sugere melhoria no aplicativo da ConectaTel.
CHM-10006,2026-08-14,loja física,plano,Dúvida sobre franquia,RJ,Rio de Janeiro,11,Sim,0,5,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mês.
CHM-10058,2026-06-05,Loja Física,FATURA,Valor divergente,mg,Uberlândia,25,0,sim,1,Conecta Família,Cliente questiona diferença entre valor contratado e valor cobrado.
CHM-10032,2026-07-01,CHAT,plano,Cancelamento de complemento,PR,Curitiba,12,S,0,3,Conecta Básico,Cliente pede remoção de serviço adicional contratado.
CHM-10076,2026-08-18,app,tecnico,Chip não funciona,São Paulo,São Paulo,23,sim,N,,Conecta Plus,Cliente relata chip novo sem funcionamento após ativação.
CHM-10192,2026-08-21,chat,plano,Troca de plano,ba,Salvador,11,1,não,3,Conecta Básico,Cliente solicita migração para outro plano da ConectaTel.
CHM-10283,2026-08-07,CHAT,fatura,Dúvida sobre desconto,sp,Ribeirão Preto,4,Sim,não,5,Conecta Família,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10188,2026-06-28,Loja fisica,FATURA,Cobrança indevida,Paraná,Londrina,21,S,N,5,Conecta Plus,Cliente relata cobrança de valor não reconhecido na fatura do mês.
CHM-10034,2026-08-21,Loja fisica,Plano,Cancelamento de complemento,Bahia,Feira de Santana,31,sim,Não,5,Conecta Básico,Cliente pede remoção de serviço adicional contratado.
CHM-10102,2026-06-03,chat,Cancelamento,Cancelamento por insatisfação,ce,Fortaleza,5,1,não,4,Conecta Básico,Cliente pede cancelamento citando insatisfação com o atendimento.
CHM-10190,2026-08-13,APP,portabilidade,Portabilidade não concluída,Paraná,Londrina,12,Sim,0,,Conecta Básico,Cliente relata que a portabilidade não foi concluída no prazo informado.
CHM-10199,2026-06-27,loja física,Plano,Troca de plano,RJ,Duque de Caxias,33,Sim,N,5,N/A,Cliente solicita migração para outro plano da ConectaTel.
CHM-10144,2026-07-06,App,outros,Solicitação de fatura detalhada,Rio de Janeiro,Rio de Janeiro,19,Sim,0,5,Conecta Básico,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10092,2026-06-09,app,Outros,Elogio,Paraná,Curitiba,9,1,Não,5,Conecta Plus,Cliente elogia atendimento recebido em contato anterior.
CHM-10003,2026-06-06,chat,fatura,Contestação de valor,Paraná,Curitiba,6,Sim,não,5,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.
CHM-10230,2026-08-24,APP,FATURA,Dúvida sobre desconto,ce,Fortaleza,12,sim,não,,Conecta Plus,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10191,2026-08-11,TELEFONE,Cobertura,Sem sinal,PR,Londrina,28,S,0,5,Conecta Básico,Cliente relata ausência total de sinal na região.
CHM-10319,,Loja Física,Portabilidade,Status de portabilidade,Sao Paulo,Santos,11,1,0,3,Conecta Família,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10110,2026-07-22,Telefone,Técnico,Erro de configuração de APN,São Paulo,Ribeirão Preto,17,Sim,N,3,Conecta Básico,Cliente pede ajuda para configurar APN manualmente.
CHM-10069,2026-06-11,loja física,cancelamento,Cancelamento por insatisfação,BA,Salvador,24,1,N,,Conecta Plus,Cliente pede cancelamento citando insatisfação com o atendimento.
CHM-10082,2026-06-04,CHAT,Portabilidade,Dúvida sobre prazo de portabilidade,MG,Uberlândia,32,0,Sim,,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10129,2026-06-11,App,Fatura,Dúvida sobre desconto,rj,Duque de Caxias,27,1,0,5,Conecta Família,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10064,2026-08-04,CHAT,FATURA,Contestação de valor,rs,Caxias do Sul,16,Sim,N,3,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.
CHM-10074,2026-08-20,APP,FATURA,Segunda via,rj,Niterói,30,Sim,0,5,N/A,Cliente solicita segunda via da fatura por e-mail.
CHM-10165,2026-07-30,Chat,Plano,Adição de pacote de dados,rs,Porto Alegre,7,Sim,N,4,Conecta Básico,Cliente pede adição de pacote extra de internet móvel.
CHM-10016,2026-08-19,Chat,cancelamento,Cancelamento de linha,mg,Belo Horizonte,17,N,Sim,1,Conecta Básico,Cliente solicita encerramento de uma linha do plano família.
