chamado_id,data_abertura,canal,categoria,subcategoria,estado,cidade,duracao_minutos,resolvido_primeiro_contato,encaminhado_humano,satisfacao_1_a_5,plano_atual,resumo_atendimento
CHM-10004,2026-08-21,Telefone,Cobertura,Sinal instavel,RJ,Duque De Caxias,12.0,True,False,4.0,Conecta Basico,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10259,2026-08-10,App,Portabilidade,Duvida sobre prazo de portabilidade,PR,Curitiba,9.0,True,False,4.0,Conecta Basico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10252,,App,Outros,Solicitacao de fatura detalhada,BA,Feira De Santana,10.0,True,False,3.0,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10146,2026-08-12,App,Cancelamento,Cancelamento de linha,BA,Feira De Santana,34.0,True,False,3.0,Conecta Basico,Cliente solicita encerramento de uma linha do plano familia.
CHM-10020,2026-07-13,Loja Fisica,Outros,Elogio,MG,Belo Horizonte,26.0,True,False,4.0,Conecta Basico,Cliente elogia atendimento recebido em contato anterior.
CHM-10311,2026-08-16,App,Portabilidade,Duvida sobre prazo de portabilidade,SP,Sao Paulo,20.0,True,False,,Conecta Basico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10295,2026-07-10,App,Fatura,Segunda via,RJ,Rio De Janeiro,25.0,True,False,,Conecta Familia,Cliente solicita segunda via da fatura por e-mail.
CHM-10166,2026-07-22,Telefone,Tecnico,Aparelho nao conecta,RJ,Rio De Janeiro,16.0,True,False,4.0,Conecta Basico,Cliente relata que o aparelho nao conecta a rede apos configurar novo chip.
CHM-10068,2026-06-04,Telefone,Tecnico,Chip nao funciona,MG,Uberlandia,22.0,True,False,5.0,Conecta Basico,Cliente relata chip novo sem funcionamento apos ativacao.
CHM-10182,2026-06-02,Loja Fisica,Tecnico,Falha na instalacao,RJ,Duque De Caxias,8.0,False,True,3.0,Conecta Basico,Cliente relata problema durante instalacao de internet fixa.
CHM-10253,2026-07-15,Telefone,Tecnico,Erro de configuracao de APN,PE,Recife,,False,True,3.0,Conecta Familia,Cliente pede ajuda para configurar APN manualmente.
CHM-10145,2026-08-23,App,Tecnico,Erro de configuracao de APN,RJ,Rio De Janeiro,17.0,False,True,2.0,Conecta Familia,Cliente pede ajuda para configurar APN manualmente.
CHM-10118,2026-08-06,App,Fatura,Contestacao de valor,MG,Juiz De Fora,29.0,True,False,5.0,Conecta Basico,Cliente contesta valor acima do esperado e pede revisao.
CHM-10266,2026-07-20,Telefone,Portabilidade,Portabilidade nao concluida,RJ,Duque De Caxias,24.0,True,False,5.0,Conecta Plus,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10309,2026-06-05,Loja Fisica,Cobertura,Sem sinal,RJ,Duque De Caxias,35.0,False,True,1.0,Conecta Plus,Cliente relata ausencia total de sinal na regiao.
CHM-10155,2026-08-09,Loja Fisica,Fatura,Contestacao de valor,SP,Campinas,4.0,True,False,5.0,Conecta Basico,Cliente contesta valor acima do esperado e pede revisao.
CHM-10052,2026-07-02,Telefone,Plano,Troca de plano,RS,Porto Alegre,16.0,True,False,3.0,Conecta Plus,Cliente solicita migracao para outro plano da ConectaTel.
CHM-10271,2026-06-29,Loja Fisica,Outros,Duvida geral,PE,Olinda,11.0,True,False,5.0,Conecta Plus,Cliente com duvida geral sobre servicos da ConectaTel.
CHM-10150,2026-08-23,App,Portabilidade,Duvida sobre prazo de portabilidade,RJ,Duque De Caxias,12.0,False,True,1.0,Conecta Basico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10040,2026-08-11,Telefone,Tecnico,Chip nao funciona,BA,Feira De Santana,21.0,False,False,2.0,Conecta Plus,Cliente relata chip novo sem funcionamento apos ativacao.
CHM-10121,2026-06-25,Chat,Outros,Solicitacao de fatura detalhada,RS,Porto Alegre,22.0,True,False,5.0,Conecta Familia,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10282,2026-06-26,Chat,Tecnico,Chip nao funciona,PR,Curitiba,29.0,False,True,1.0,Conecta Plus,Cliente relata chip novo sem funcionamento apos ativacao.
